"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Drone_2025.nlogo"
"Experiments 2025"
"06/01/2025 14:03:18:655 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-17","17","-17","17"
"[run number]","Battery_Gain","Policy","Battery_consumption","number-strategies","p2_upperlimit","memory-size","p2_lowerlimit","drones","Battery_Consumption_SD","overcrowding-threshold","[step]","count turtles","ticks"
"2","100","0","10","2","70","2","25","50","0","30","1500","50","1500"
"1","50","0","10","2","70","2","25","50","0","30","1500","50","1500"
"6","100","0","15","2","70","2","25","50","0","30","1500","50","1500"
"5","50","0","15","2","70","2","25","50","0","30","1500","50","1500"
"9","50","0","10","9","70","2","25","50","0","30","1500","50","1500"
"10","100","0","10","9","70","2","25","50","0","30","1500","50","1500"
"8","100","2","15","2","70","2","25","50","0","30","1500","30","1500"
"7","50","2","15","2","70","2","25","50","0","30","1500","16","1500"
"14","100","0","15","9","70","2","25","50","0","30","1500","50","1500"
"4","100","2","10","2","70","2","25","50","0","30","1500","50","1500"
"13","50","0","15","9","70","2","25","50","0","30","1500","50","1500"
"15","50","2","15","9","70","2","25","50","0","30","1500","1","1500"
"3","50","2","10","2","70","2","25","50","0","30","1500","50","1500"
"17","50","0","10","2","90","2","25","50","0","30","1500","50","1500"
"16","100","2","15","9","70","2","25","50","0","30","1500","6","1500"
"18","100","0","10","2","90","2","25","50","0","30","1500","50","1500"
"21","50","0","15","2","90","2","25","50","0","30","1500","50","1500"
"22","100","0","15","2","90","2","25","50","0","30","1500","50","1500"
"25","50","0","10","9","90","2","25","50","0","30","1500","50","1500"
"26","100","0","10","9","90","2","25","50","0","30","1500","50","1500"
"23","50","2","15","2","90","2","25","50","0","30","1500","19","1500"
"19","50","2","10","2","90","2","25","50","0","30","1500","50","1500"
"24","100","2","15","2","90","2","25","50","0","30","1500","16","1500"
"12","100","2","10","9","70","2","25","50","0","30","1500","50","1500"
"20","100","2","10","2","90","2","25","50","0","30","1500","50","1500"
"29","50","0","15","9","90","2","25","50","0","30","1500","50","1500"
"30","100","0","15","9","90","2","25","50","0","30","1500","50","1500"
"33","50","0","10","2","70","9","25","50","0","30","1500","50","1500"
"32","100","2","15","9","90","2","25","50","0","30","1500","2","1500"
"34","100","0","10","2","70","9","25","50","0","30","1500","50","1500"
"31","50","2","15","9","90","2","25","50","0","30","1500","1","1500"
"38","100","0","15","2","70","9","25","50","0","30","1500","50","1500"
"37","50","0","15","2","70","9","25","50","0","30","1500","50","1500"
"11","50","2","10","9","70","2","25","50","0","30","1500","50","1500"
"41","50","0","10","9","70","9","25","50","0","30","1500","50","1500"
"42","100","0","10","9","70","9","25","50","0","30","1500","50","1500"
"39","50","2","15","2","70","9","25","50","0","30","1500","17","1500"
"45","50","0","15","9","70","9","25","50","0","30","1500","50","1500"
"40","100","2","15","2","70","9","25","50","0","30","1500","23","1500"
"46","100","0","15","9","70","9","25","50","0","30","1500","50","1500"
"36","100","2","10","2","70","9","25","50","0","30","1500","50","1500"
"27","50","2","10","9","90","2","25","50","0","30","1500","50","1500"
"28","100","2","10","9","90","2","25","50","0","30","1500","50","1500"
"49","50","0","10","2","90","9","25","50","0","30","1500","50","1500"
"50","100","0","10","2","90","9","25","50","0","30","1500","50","1500"
"35","50","2","10","2","70","9","25","50","0","30","1500","50","1500"
"48","100","2","15","9","70","9","25","50","0","30","1500","1","1500"
"53","50","0","15","2","90","9","25","50","0","30","1500","50","1500"
"47","50","2","15","9","70","9","25","50","0","30","1500","1","1500"
"54","100","0","15","2","90","9","25","50","0","30","1500","50","1500"
"57","50","0","10","9","90","9","25","50","0","30","1500","50","1500"
"58","100","0","10","9","90","9","25","50","0","30","1500","50","1500"
"56","100","2","15","2","90","9","25","50","0","30","1500","17","1500"
"55","50","2","15","2","90","9","25","50","0","30","1500","20","1500"
"61","50","0","15","9","90","9","25","50","0","30","1500","50","1500"
"62","100","0","15","9","90","9","25","50","0","30","1500","50","1500"
"63","50","2","15","9","90","9","25","50","0","30","1500","1","1500"
"64","100","2","15","9","90","9","25","50","0","30","1500","1","1500"
"65","50","0","10","2","70","2","50","50","0","30","1500","50","1500"
"66","100","0","10","2","70","2","50","50","0","30","1500","50","1500"
"51","50","2","10","2","90","9","25","50","0","30","1500","50","1500"
"52","100","2","10","2","90","9","25","50","0","30","1500","50","1500"
"67","50","2","10","2","70","2","50","50","0","30","1500","50","1500"
"69","50","0","15","2","70","2","50","50","0","30","1500","50","1500"
"68","100","2","10","2","70","2","50","50","0","30","1500","50","1500"
"70","100","0","15","2","70","2","50","50","0","30","1500","50","1500"
"73","50","0","10","9","70","2","50","50","0","30","1500","50","1500"
"74","100","0","10","9","70","2","50","50","0","30","1500","50","1500"
"72","100","2","15","2","70","2","50","50","0","30","1500","50","1500"
"71","50","2","15","2","70","2","50","50","0","30","1500","50","1500"
"77","50","0","15","9","70","2","50","50","0","30","1500","50","1500"
"78","100","0","15","9","70","2","50","50","0","30","1500","50","1500"
"76","100","2","10","9","70","2","50","50","0","30","1500","50","1500"
"75","50","2","10","9","70","2","50","50","0","30","1500","50","1500"
"81","50","0","10","2","90","2","50","50","0","30","1500","50","1500"
"82","100","0","10","2","90","2","50","50","0","30","1500","50","1500"
"80","100","2","15","9","70","2","50","50","0","30","1500","50","1500"
"79","50","2","15","9","70","2","50","50","0","30","1500","50","1500"
"85","50","0","15","2","90","2","50","50","0","30","1500","50","1500"
"86","100","0","15","2","90","2","50","50","0","30","1500","50","1500"
"83","50","2","10","2","90","2","50","50","0","30","1500","50","1500"
"84","100","2","10","2","90","2","50","50","0","30","1500","50","1500"
"89","50","0","10","9","90","2","50","50","0","30","1500","50","1500"
"90","100","0","10","9","90","2","50","50","0","30","1500","50","1500"
"87","50","2","15","2","90","2","50","50","0","30","1500","50","1500"
"88","100","2","15","2","90","2","50","50","0","30","1500","50","1500"
"44","100","2","10","9","70","9","25","50","0","30","1500","50","1500"
"94","100","0","15","9","90","2","50","50","0","30","1500","50","1500"
"93","50","0","15","9","90","2","50","50","0","30","1500","50","1500"
"97","50","0","10","2","70","9","50","50","0","30","1500","50","1500"
"98","100","0","10","2","70","9","50","50","0","30","1500","50","1500"
"95","50","2","15","9","90","2","50","50","0","30","1500","50","1500"
"92","100","2","10","9","90","2","50","50","0","30","1500","50","1500"
"96","100","2","15","9","90","2","50","50","0","30","1500","50","1500"
"91","50","2","10","9","90","2","50","50","0","30","1500","50","1500"
"101","50","0","15","2","70","9","50","50","0","30","1500","50","1500"
"102","100","0","15","2","70","9","50","50","0","30","1500","50","1500"
"105","50","0","10","9","70","9","50","50","0","30","1500","50","1500"
"99","50","2","10","2","70","9","50","50","0","30","1500","50","1500"
"106","100","0","10","9","70","9","50","50","0","30","1500","50","1500"
"43","50","2","10","9","70","9","25","50","0","30","1500","50","1500"
"109","50","0","15","9","70","9","50","50","0","30","1500","50","1500"
"100","100","2","10","2","70","9","50","50","0","30","1500","50","1500"
"110","100","0","15","9","70","9","50","50","0","30","1500","50","1500"
"103","50","2","15","2","70","9","50","50","0","30","1500","50","1500"
"104","100","2","15","2","70","9","50","50","0","30","1500","50","1500"
"113","50","0","10","2","90","9","50","50","0","30","1500","50","1500"
"114","100","0","10","2","90","9","50","50","0","30","1500","50","1500"
"60","100","2","10","9","90","9","25","50","0","30","1500","50","1500"
"59","50","2","10","9","90","9","25","50","0","30","1500","50","1500"
"116","100","2","10","2","90","9","50","50","0","30","1500","50","1500"
"117","50","0","15","2","90","9","50","50","0","30","1500","50","1500"
"118","100","0","15","2","90","9","50","50","0","30","1500","50","1500"
"115","50","2","10","2","90","9","50","50","0","30","1500","50","1500"
"121","50","0","10","9","90","9","50","50","0","30","1500","50","1500"
"122","100","0","10","9","90","9","50","50","0","30","1500","50","1500"
"108","100","2","10","9","70","9","50","50","0","30","1500","50","1500"
"125","50","0","15","9","90","9","50","50","0","30","1500","50","1500"
"126","100","0","15","9","90","9","50","50","0","30","1500","50","1500"
"120","100","2","15","2","90","9","50","50","0","30","1500","50","1500"
"119","50","2","15","2","90","9","50","50","0","30","1500","50","1500"
"129","50","0","10","2","70","2","25","100","0","30","1500","100","1500"
"130","100","0","10","2","70","2","25","100","0","30","1500","100","1500"
"107","50","2","10","9","70","9","50","50","0","30","1500","50","1500"
"112","100","2","15","9","70","9","50","50","0","30","1500","50","1500"
"131","50","2","10","2","70","2","25","100","0","30","1500","100","1500"
"133","50","0","15","2","70","2","25","100","0","30","1500","100","1500"
"132","100","2","10","2","70","2","25","100","0","30","1500","100","1500"
"134","100","0","15","2","70","2","25","100","0","30","1500","100","1500"
"111","50","2","15","9","70","9","50","50","0","30","1500","50","1500"
"137","50","0","10","9","70","2","25","100","0","30","1500","100","1500"
"135","50","2","15","2","70","2","25","100","0","30","1500","48","1500"
"138","100","0","10","9","70","2","25","100","0","30","1500","100","1500"
"136","100","2","15","2","70","2","25","100","0","30","1500","59","1500"
"141","50","0","15","9","70","2","25","100","0","30","1500","100","1500"
"142","100","0","15","9","70","2","25","100","0","30","1500","100","1500"
"143","50","2","15","9","70","2","25","100","0","30","1500","2","1500"
"145","50","0","10","2","90","2","25","100","0","30","1500","100","1500"
"146","100","0","10","2","90","2","25","100","0","30","1500","100","1500"
"144","100","2","15","9","70","2","25","100","0","30","1500","25","1500"
"140","100","2","10","9","70","2","25","100","0","30","1500","100","1500"
"147","50","2","10","2","90","2","25","100","0","30","1500","100","1500"
"149","50","0","15","2","90","2","25","100","0","30","1500","100","1500"
"150","100","0","15","2","90","2","25","100","0","30","1500","100","1500"
"148","100","2","10","2","90","2","25","100","0","30","1500","100","1500"
"139","50","2","10","9","70","2","25","100","0","30","1500","100","1500"
"153","50","0","10","9","90","2","25","100","0","30","1500","100","1500"
"151","50","2","15","2","90","2","25","100","0","30","1500","32","1500"
"154","100","0","10","9","90","2","25","100","0","30","1500","100","1500"
"152","100","2","15","2","90","2","25","100","0","30","1500","42","1500"
"157","50","0","15","9","90","2","25","100","0","30","1500","100","1500"
"158","100","0","15","9","90","2","25","100","0","30","1500","100","1500"
"160","100","2","15","9","90","2","25","100","0","30","1500","3","1500"
"159","50","2","15","9","90","2","25","100","0","30","1500","6","1500"
"161","50","0","10","2","70","9","25","100","0","30","1500","100","1500"
"162","100","0","10","2","70","9","25","100","0","30","1500","100","1500"
"124","100","2","10","9","90","9","50","50","0","30","1500","50","1500"
"165","50","0","15","2","70","9","25","100","0","30","1500","100","1500"
"166","100","0","15","2","70","9","25","100","0","30","1500","100","1500"
"128","100","2","15","9","90","9","50","50","0","30","1500","50","1500"
"123","50","2","10","9","90","9","50","50","0","30","1500","50","1500"
"169","50","0","10","9","70","9","25","100","0","30","1500","100","1500"
